id	lemma	pos
819	bunker	n
820	bunny	n
821	bunsen	n
822	bunt	n
823	bunting	n
824	buoy	n
825	buoyancy	n
826	bur	n
827	burden	n
828	bureau	n
829	bureaucracy	n
830	bureaucrat	n
831	burg	n
832	burger	n
833	burgh	n
834	burgher	n
835	burglar	n
836	burglary	n
837	burgundy	n
838	burial	n
839	burl	n
840	burlap	n
841	burlesque	n
842	burn	n
843	burner	n
844	burning	n
845	burqa	n
846	burr	n
847	burrito	n
848	burro	n
849	burrow	n
850	bursar	n
851	bursary	n
852	burst	n
853	burying	n
854	busby	n
855	bush	n
856	bushel	n
857	bushman	n
858	businessman	n
859	businessperson	n
860	businesswoman	n
861	busker	n
862	bust	n
863	bustard	n
864	buster	n
865	bustle	n
866	butane	n
867	butch	n
868	butcher	n
869	butchering	n
870	butchery	n
871	butler	n
872	butt	n
873	butte	n
874	butter	n
875	buttercup	n
876	butterfly	n
877	buttermilk	n
878	butternut	n
879	button	n
880	buy	n
881	buyback	n
882	buyer	n
883	buying	n
884	buyout	n
885	buzz	n
886	buzzard	n
887	buzzer	n
888	bycatch	n
889	bye	n
890	bygone	n
891	bylaw	n
892	byproduct	n
893	bystander	n
894	byte	n
895	byway	n
896	cab	n
897	cabal	n
898	cabana	n
899	cabaret	n
900	cabbage	n
901	cabin	n
902	cabinet	n
903	cabinetmaker	n
904	cable	n
905	caboose	n
906	cabriolet	n
907	cacao	n
908	cache	n
909	cachet	n
910	cacophony	n
911	cad	n
912	cadaver	n
913	caddie	n
914	caddy	n
915	cadence	n
916	cadenza	n
917	cadet	n
918	cadmium	n
919	cadre	n
920	caesarean	n
921	caesium	n
922	cafe	n
923	cafeteria	n
924	caffeine	n
925	cage	n
926	caiman	n
927	cairn	n
928	caisson	n
929	cake	n
930	calabash	n
931	calamity	n
932	calcification	n
933	calcite	n
934	calcium	n
935	calculation	n
936	calculator	n
937	caldera	n
938	calendar	n
939	calf	n
940	caliber	n
941	calibration	n
942	calibre	n
943	calico	n
944	caliper	n
945	caliph	n
946	caliphate	n
947	call	n
948	callback	n
949	caller	n
950	calligrapher	n
951	calligraphy	n
952	calling	n
953	calliope	n
954	calm	n
955	calming	n
956	calorie	n
957	calumet	n
958	calvary	n
959	calving	n
960	calypso	n
961	cam	n
962	camaraderie	n
963	camber	n
964	camcorder	n
965	camel	n
966	camellia	n
967	cameo	n
968	camera	n
969	cameraman	n
970	camouflage	n
971	camp	n
972	campaign	n
973	campaigner	n
974	campaigning	n
975	campanile	n
976	camper	n
977	campfire	n
978	campground	n
979	camphor	n
980	camping	n
981	campsite	n
982	camshaft	n
983	can	n
984	canal	n
985	canard	n
986	canary	n
987	cancel	n
988	cancellation	n
989	cancer	n
990	candidacy	n
991	candidate	n
992	candidature	n
993	candle	n
994	candlelight	n
995	candlestick	n
996	candor	n
997	candy	n
998	cane	n
999	canine	n
1000	caning	n
1001	canister	n
1002	canker	n
1003	cannery	n
1004	cannibal	n
1005	cannibalism	n
1006	cannon	n
1007	cannonball	n
1008	canoe	n
1009	canoeist	n
1010	canola	n
1011	canon	n
1012	canonisation	n
1013	canonization	n
1014	canopy	n
1015	cant	n
1016	cantata	n
1017	canteen	n
1018	canter	n
1019	canticle	n
1020	cantilever	n
1021	canto	n
1022	canton	n
1023	cantonment	n
1024	cantor	n
1025	canvassing	n
1026	canyon	n
1027	cap	n
1028	capability	n
1029	capacitor	n
1030	capacity	n
1031	cape	n
1032	caper	n
1033	capillary	n
1034	capital	n
1035	capitalisation	n
1036	capitalism	n
1037	capitalist	n
1038	capitalization	n
1039	capitol	n
1040	capitulation	n
1041	capo	n
1042	capon	n
1043	cappuccino	n
1044	caprice	n
1045	capsaicin	n
1046	capsicum	n
1047	capsizing	n
1048	capstan	n
1049	capstone	n
1050	capsule	n
1051	captain	n
1052	captaincy	n
1053	caption	n
1054	captive	n
1055	captivity	n
1056	captor	n
1057	capture	n
1058	capuchin	n
1059	capybara	n
1060	car	n
1061	caracal	n
1062	caramel	n
1063	carapace	n
1064	carat	n
1065	caravan	n
1066	caraway	n
1067	carbohydrate	n
1068	carbon	n
1069	carburetor	n
1070	carburettor	n
1071	carcinogen	n
1072	card	n
1073	cardamom	n
1074	cardboard	n
1075	cardigan	n
1076	cardinal	n
1077	cardiologist	n
1078	cardiology	n
1079	care	n
1080	career	n
1081	caregiver	n
1082	caretaker	n
1083	cargo	n
1084	caribou	n
1085	caricature	n
1086	caricaturist	n
1087	caring	n
1088	carmine	n
1089	carnage	n
1090	carnation	n
1091	carnival	n
1092	carnivore	n
1093	carol	n
1094	carousel	n
1095	carp	n
1096	carpenter	n
1097	carpentry	n
1098	carpet	n
1099	carpeting	n
1100	carriage	n
1101	carriageway	n
1102	carrier	n
1103	carrion	n
1104	carrot	n
1105	carry	n
1106	cart	n
1107	cartel	n
1108	cartilage	n
1109	cartographer	n
1110	cartography	n
1111	carton	n
1112	cartoon	n
1113	cartoonist	n
1114	cartridge	n
1115	cartwheel	n
1116	carver	n
1117	carving	n
1118	cascade	n
1119	case	n
1120	cash	n
1121	cashbox	n
1122	cashew	n
1123	cashier	n
1124	cashmere	n
1125	casing	n
1126	casino	n
1127	cask	n
1128	casket	n
1129	cassava	n
1130	casserole	n
1131	cassette	n
1132	cast	n
1133	castaway	n
1134	caste	n
1135	caster	n
1136	casting	n
1137	castle	n
1138	castration	n
1139	casualty	n
1140	cat	n
1141	cataclysm	n
1142	catacomb	n
1143	catalog	n
1144	catalogue	n
1145	catalyst	n
1146	catamaran	n
1147	catapult	n
1148	cataract	n
1149	catastrophe	n
1150	caliphate	n
1151	call	n
1152	calliope	n
1153	calorie	n
1154	calvary	n
1155	calvinism	n
1156	calvinist	n
1157	calypso	n
1158	cam	n
1159	cambrian	n
1160	camelot	n
1161	camorra	n
1162	cancer	n
1163	canton	n
1164	canuck	n
1165	capital	n
1166	capitol	n
