id	lemma	pos
866	bookshelf	n
867	bookshop	n
868	bookstore	n
869	boom	n
870	boom	v
871	boomer	n
872	boomerang	n
873	boomerang	v
874	booming	a
875	boon	a
876	boon	n
877	boost	n
878	boost	v
879	booster	n
880	boot	n
881	boot	v
882	booted	a
883	booth	n
884	bootleg	a
885	bootleg	n
886	bootleg	v
887	bootlegger	n
888	bootlegging	n
889	bootstrap	n
890	bootstrap	v
891	booty	n
892	booze	n
893	booze	v
894	boozer	n
895	bop	n
896	bop	v
897	borax	n
898	bordello	n
899	border	n
900	border	v
901	bordered	a
902	borderland	n
903	borderline	a
904	borderline	n
905	bore	n
906	bore	v
907	boreal	a
908	bored	a
909	boredom	n
910	borer	n
911	boring	a
912	boring	n
913	born	a
914	boron	n
915	borough	n
916	borrow	v
917	borrower	n
918	borrowing	n
919	borscht	n
920	bosom	n
924	bossy	a
925	bot	n
926	botanic	a
927	botanical	a
928	botanical	n
929	botanist	n
930	botany	n
931	botched	a
932	bother	n
933	bother	v
934	bothered	a
935	bottle	n
936	bottle	v
937	bottleneck	n
938	bottleneck	v
939	bottlenose	n
940	bottom	a
941	bottom	n
942	bottom	v
943	bottomed	a
944	bottomland	n
945	bottomless	a
946	botulism	n
947	boudoir	n
948	bough	n
949	bouillon	n
950	boulder	n
951	boulevard	n
952	bounce	n
953	bounce	v
954	bouncer	n
955	bouncing	a
956	bouncing	n
957	bouncy	a
958	bound	a
959	bound	n
960	bound	v
961	boundary	n
962	bounded	a
963	boundless	a
965	bountiful	a
966	bounty	n
967	bouquet	n
968	bourbon	n
969	bourgeois	a
970	bourgeois	n
971	bourgeoisie	n
972	bout	n
973	boutique	n
974	bovine	a
975	bovine	n
976	bow	n
977	bow	v
978	bowed	a
979	bowel	n
981	bower	n
982	bowhead	n
983	bowing	a
984	bowing	n
985	bowl	n
986	bowl	v
987	bowler	n
988	bowling	n
990	bowman	n
991	bowsprit	n
992	bowstring	n
993	box	n
994	box	v
995	boxcar	n
997	boxed	a
998	boxer	n
1000	boxing	n
